,corpusid,paper-title,section-title,Sentence,Label,pdf-url
0,209202200,Published as a conference paper at ICLR 2020 NEURAL MODULE NETWORKS FOR REASONING OVER TEXT,conclusion,we show how to use neural module networks to answer compositional questions requiring symbolic reasoning against natural language text.,ReSolved,https://export.arxiv.org/pdf/1912.04971v2.pdf
1,209202200,Published as a conference paper at ICLR 2020 NEURAL MODULE NETWORKS FOR REASONING OVER TEXT,conclusion,we define probabilistic modules that propagate uncertainty about symbolic reasoning operations in a way that is end-to-end differentiable.,ReSolved,https://export.arxiv.org/pdf/1912.04971v2.pdf
2,209202200,Published as a conference paper at ICLR 2020 NEURAL MODULE NETWORKS FOR REASONING OVER TEXT,conclusion,"additionally, we show that injecting inductive bias using unsupervised auxiliary losses significantly helps learning.",ReSolved,https://export.arxiv.org/pdf/1912.04971v2.pdf
3,247158312,Combining Modular Skills in Multitask Learning,conclusions,"in this work, we argued that a modular design is crucial to ensure that neural networks can learn from a few examples and generalise robustly across tasks by recombining autonomous facets of knowledge.",ReSolved,https://arxiv.org/pdf/2202.13914v2.pdf
4,247158312,Combining Modular Skills in Multitask Learning,conclusions,"to this end, we proposed a model where a subset of latent, discrete skills from a fixed inventory is allocated to each task in an end-to-end fashion.",ReSolved,https://arxiv.org/pdf/2202.13914v2.pdf
5,247158312,Combining Modular Skills in Multitask Learning,conclusions,"the task-specific instantiation of a neural network is then obtained by combining efficient parameterisations of the active skills, such as sparse or low-rank adapters.",Neutral,https://arxiv.org/pdf/2202.13914v2.pdf
6,247158312,Combining Modular Skills in Multitask Learning,conclusions,we evaluate the sample efficiency of our model on multitask instruction following through reinforcement learning and its few-shot adaptability on multitask text-to-text generation through supervised learning.,ReSolved,https://arxiv.org/pdf/2202.13914v2.pdf
7,247158312,Combining Modular Skills in Multitask Learning,conclusions,"in both experiments, we surpass competitive baselines where parameters are fully shared, task-specific, combined according to expert knowledge, or generated conditionally on the task.",ReSolved,https://arxiv.org/pdf/2202.13914v2.pdf
8,247158312,Combining Modular Skills in Multitask Learning,conclusions,"finally, we show that our model facilitates interpretability by learning an explicit hierarchy of tasks based on the skills they require.",ReSolved,https://arxiv.org/pdf/2202.13914v2.pdf
9,221971009,SPARTA: Efficient Open-Domain Question Answering via Sparse Transformer Matching Retrieval,conclusion,"in short, we propose sparta, a novel ranking method, that learns sparse representation for better open-domain qa.",ReSolved,https://www.aclweb.org/anthology/2021.naacl-main.47.pdf
10,221971009,SPARTA: Efficient Open-Domain Question Answering via Sparse Transformer Matching Retrieval,conclusion,experiments show that the proposed framework achieves the state-of-the-art performance for 4 different open-domain qa tasks in 2 languages and 11 retrieval qa tasks.,ReSolved,https://www.aclweb.org/anthology/2021.naacl-main.47.pdf
11,221971009,SPARTA: Efficient Open-Domain Question Answering via Sparse Transformer Matching Retrieval,conclusion,this confirm our hypothesis that token-level interaction is superior to sequence-level interaction for better evidence ranking.,ReSolved,https://www.aclweb.org/anthology/2021.naacl-main.47.pdf
12,221971009,SPARTA: Efficient Open-Domain Question Answering via Sparse Transformer Matching Retrieval,conclusion,"analyses also show the advantages of sparse representation, including interpretability, generalization and efficiency.",ReSolved,https://www.aclweb.org/anthology/2021.naacl-main.47.pdf
13,221971009,SPARTA: Efficient Open-Domain Question Answering via Sparse Transformer Matching Retrieval,conclusion,our findings also suggest promising future research directions.,Finding,https://www.aclweb.org/anthology/2021.naacl-main.47.pdf
14,221971009,SPARTA: Efficient Open-Domain Question Answering via Sparse Transformer Matching Retrieval,conclusion,"the proposed method does not support multi-hop reasoning, an important attribute that enables qa systems to answer more complex questions that require collecting multiple evidence passages.",Finding,https://www.aclweb.org/anthology/2021.naacl-main.47.pdf
