,sourceNodeId,targetNodeId,cite_info,relationshipType,flag
0,248665596,220302524,{220302524: '[30]'},cites,3
1,264490922,123758373,"{123758373: 'Chen and Durrett, 2019;', 246652372: 'Bang et al., 2023;', 174801764: 'Min et al., 2019;', 221749191: 'Trivedi et al., 2020', 248227734: 'Xie et al., 2022', 52822214: 'Yang et al., 2018'}",cites,4
2,264490922,246652372,"{123758373: 'Chen and Durrett, 2019;', 246652372: 'Bang et al., 2023;', 174801764: 'Min et al., 2019;', 221749191: 'Trivedi et al., 2020', 248227734: 'Xie et al., 2022', 52822214: 'Yang et al., 2018'}",cites,4
3,264490922,174801764,"{123758373: 'Chen and Durrett, 2019;', 246652372: 'Bang et al., 2023;', 174801764: 'Min et al., 2019;', 221749191: 'Trivedi et al., 2020', 248227734: 'Xie et al., 2022', 52822214: 'Yang et al., 2018'}",cites,4
4,264490922,221749191,"{123758373: 'Chen and Durrett, 2019;', 246652372: 'Bang et al., 2023;', 174801764: 'Min et al., 2019;', 221749191: 'Trivedi et al., 2020', 248227734: 'Xie et al., 2022', 52822214: 'Yang et al., 2018'}",cites,4
5,264490922,248227734,"{123758373: 'Chen and Durrett, 2019;', 246652372: 'Bang et al., 2023;', 174801764: 'Min et al., 2019;', 221749191: 'Trivedi et al., 2020', 248227734: 'Xie et al., 2022', 52822214: 'Yang et al., 2018'}",cites,4
6,264490922,52822214,"{123758373: 'Chen and Durrett, 2019;', 246652372: 'Bang et al., 2023;', 174801764: 'Min et al., 2019;', 221749191: 'Trivedi et al., 2020', 248227734: 'Xie et al., 2022', 52822214: 'Yang et al., 2018'}",cites,4
7,253098647,204915921,"{204915921: 'Khot et al., 2020;', 248666080: 'Khot et al. 2022', 174801080: 'Min et al., 2019;', 211258645: 'Perez et al., 2020', 219573621: 'Talmor et al., 2020', 211003735: 'Wolfson et al., 2020;', 52822214: 'Yang et al., 2018;'}",cites,5
8,253098647,174801080,"{204915921: 'Khot et al., 2020;', 248666080: 'Khot et al. 2022', 174801080: 'Min et al., 2019;', 211258645: 'Perez et al., 2020', 219573621: 'Talmor et al., 2020', 211003735: 'Wolfson et al., 2020;', 52822214: 'Yang et al., 2018;'}",cites,5
9,253098647,211258645,"{204915921: 'Khot et al., 2020;', 248666080: 'Khot et al. 2022', 174801080: 'Min et al., 2019;', 211258645: 'Perez et al., 2020', 219573621: 'Talmor et al., 2020', 211003735: 'Wolfson et al., 2020;', 52822214: 'Yang et al., 2018;'}",cites,5
10,253098647,211003735,"{204915921: 'Khot et al., 2020;', 248666080: 'Khot et al. 2022', 174801080: 'Min et al., 2019;', 211258645: 'Perez et al., 2020', 219573621: 'Talmor et al., 2020', 211003735: 'Wolfson et al., 2020;', 52822214: 'Yang et al., 2018;'}",cites,5
11,253098647,52822214,"{204915921: 'Khot et al., 2020;', 248666080: 'Khot et al. 2022', 174801080: 'Min et al., 2019;', 211258645: 'Perez et al., 2020', 219573621: 'Talmor et al., 2020', 211003735: 'Wolfson et al., 2020;', 52822214: 'Yang et al., 2018;'}",cites,5
12,253098647,204915921,"{204915921: 'Khot et al., 2020;', 248666080: 'Khot et al. 2022', 174801080: 'Min et al., 2019;', 211258645: 'Perez et al., 2020', 219573621: 'Talmor et al., 2020', 211003735: 'Wolfson et al., 2020;', 52822214: 'Yang et al., 2018;'}",cites,6
13,253098647,174801080,"{204915921: 'Khot et al., 2020;', 248666080: 'Khot et al. 2022', 174801080: 'Min et al., 2019;', 211258645: 'Perez et al., 2020', 219573621: 'Talmor et al., 2020', 211003735: 'Wolfson et al., 2020;', 52822214: 'Yang et al., 2018;'}",cites,6
14,253098647,211258645,"{204915921: 'Khot et al., 2020;', 248666080: 'Khot et al. 2022', 174801080: 'Min et al., 2019;', 211258645: 'Perez et al., 2020', 219573621: 'Talmor et al., 2020', 211003735: 'Wolfson et al., 2020;', 52822214: 'Yang et al., 2018;'}",cites,6
15,253098647,211003735,"{204915921: 'Khot et al., 2020;', 248666080: 'Khot et al. 2022', 174801080: 'Min et al., 2019;', 211258645: 'Perez et al., 2020', 219573621: 'Talmor et al., 2020', 211003735: 'Wolfson et al., 2020;', 52822214: 'Yang et al., 2018;'}",cites,6
16,253098647,52822214,"{204915921: 'Khot et al., 2020;', 248666080: 'Khot et al. 2022', 174801080: 'Min et al., 2019;', 211258645: 'Perez et al., 2020', 219573621: 'Talmor et al., 2020', 211003735: 'Wolfson et al., 2020;', 52822214: 'Yang et al., 2018;'}",cites,6
17,208000835,67855846,"{67855846: 'Dua et al., 2019', 173188058: 'Talmor and Berant 2019'}",cites,8
18,208000835,173188058,"{67855846: 'Dua et al., 2019', 173188058: 'Talmor and Berant 2019'}",cites,8
19,263609132,258833055,"{258833055: 'Shinn et al. 2023', 247595263: 'Wang et al., 2022;', 52822214: 'Yang et al., 2018'}",cites,9
20,263609132,247595263,"{258833055: 'Shinn et al. 2023', 247595263: 'Wang et al., 2022;', 52822214: 'Yang et al., 2018'}",cites,9
21,263609132,52822214,"{258833055: 'Shinn et al. 2023', 247595263: 'Wang et al., 2022;', 52822214: 'Yang et al., 2018'}",cites,9
22,263609132,258833055,"{258833055: 'Shinn et al. 2023', 247595263: 'Wang et al., 2022;', 52822214: 'Yang et al., 2018'}",cites,10
23,263609132,247595263,"{258833055: 'Shinn et al. 2023', 247595263: 'Wang et al., 2022;', 52822214: 'Yang et al., 2018'}",cites,10
24,263609132,52822214,"{258833055: 'Shinn et al. 2023', 247595263: 'Wang et al., 2022;', 52822214: 'Yang et al., 2018'}",cites,10
25,234790338,165163607,"{165163607: '[21]', 196170479: '38]', 216868500: '66', 86611921: '69]', 174801764: '[90]', 52822214: '145,', 189898081: '147,'}",cites,11
26,234790338,196170479,"{165163607: '[21]', 196170479: '38]', 216868500: '66', 86611921: '69]', 174801764: '[90]', 52822214: '145,', 189898081: '147,'}",cites,11
27,234790338,216868500,"{165163607: '[21]', 196170479: '38]', 216868500: '66', 86611921: '69]', 174801764: '[90]', 52822214: '145,', 189898081: '147,'}",cites,11
28,234790338,86611921,"{165163607: '[21]', 196170479: '38]', 216868500: '66', 86611921: '69]', 174801764: '[90]', 52822214: '145,', 189898081: '147,'}",cites,11
29,234790338,174801764,"{165163607: '[21]', 196170479: '38]', 216868500: '66', 86611921: '69]', 174801764: '[90]', 52822214: '145,', 189898081: '147,'}",cites,11
30,234790338,52822214,"{165163607: '[21]', 196170479: '38]', 216868500: '66', 86611921: '69]', 174801764: '[90]', 52822214: '145,', 189898081: '147,'}",cites,11
31,234790338,189898081,"{165163607: '[21]', 196170479: '38]', 216868500: '66', 86611921: '69]', 174801764: '[90]', 52822214: '145,', 189898081: '147,'}",cites,11
32,234790338,165163607,"{165163607: '[21]', 196170479: '38]', 216868500: '66', 86611921: '69]', 174801764: '[90]', 52822214: '145,', 189898081: '147,'}",cites,12
33,234790338,196170479,"{165163607: '[21]', 196170479: '38]', 216868500: '66', 86611921: '69]', 174801764: '[90]', 52822214: '145,', 189898081: '147,'}",cites,12
34,234790338,216868500,"{165163607: '[21]', 196170479: '38]', 216868500: '66', 86611921: '69]', 174801764: '[90]', 52822214: '145,', 189898081: '147,'}",cites,12
35,234790338,86611921,"{165163607: '[21]', 196170479: '38]', 216868500: '66', 86611921: '69]', 174801764: '[90]', 52822214: '145,', 189898081: '147,'}",cites,12
36,234790338,174801764,"{165163607: '[21]', 196170479: '38]', 216868500: '66', 86611921: '69]', 174801764: '[90]', 52822214: '145,', 189898081: '147,'}",cites,12
37,234790338,52822214,"{165163607: '[21]', 196170479: '38]', 216868500: '66', 86611921: '69]', 174801764: '[90]', 52822214: '145,', 189898081: '147,'}",cites,12
38,234790338,189898081,"{165163607: '[21]', 196170479: '38]', 216868500: '66', 86611921: '69]', 174801764: '[90]', 52822214: '145,', 189898081: '147,'}",cites,12
39,234790338,165163607,"{165163607: '[21]', 196170479: '38]', 216868500: '66', 86611921: '69]', 174801764: '[90]', 52822214: '145,', 189898081: '147,'}",cites,13
40,234790338,196170479,"{165163607: '[21]', 196170479: '38]', 216868500: '66', 86611921: '69]', 174801764: '[90]', 52822214: '145,', 189898081: '147,'}",cites,13
41,234790338,216868500,"{165163607: '[21]', 196170479: '38]', 216868500: '66', 86611921: '69]', 174801764: '[90]', 52822214: '145,', 189898081: '147,'}",cites,13
42,234790338,86611921,"{165163607: '[21]', 196170479: '38]', 216868500: '66', 86611921: '69]', 174801764: '[90]', 52822214: '145,', 189898081: '147,'}",cites,13
43,234790338,174801764,"{165163607: '[21]', 196170479: '38]', 216868500: '66', 86611921: '69]', 174801764: '[90]', 52822214: '145,', 189898081: '147,'}",cites,13
44,234790338,52822214,"{165163607: '[21]', 196170479: '38]', 216868500: '66', 86611921: '69]', 174801764: '[90]', 52822214: '145,', 189898081: '147,'}",cites,13
45,234790338,189898081,"{165163607: '[21]', 196170479: '38]', 216868500: '66', 86611921: '69]', 174801764: '[90]', 52822214: '145,', 189898081: '147,'}",cites,13
46,234790338,165163607,"{165163607: '[21]', 196170479: '38]', 216868500: '66', 86611921: '69]', 174801764: '[90]', 52822214: '145,', 189898081: '147,'}",cites,14
47,234790338,196170479,"{165163607: '[21]', 196170479: '38]', 216868500: '66', 86611921: '69]', 174801764: '[90]', 52822214: '145,', 189898081: '147,'}",cites,14
48,234790338,216868500,"{165163607: '[21]', 196170479: '38]', 216868500: '66', 86611921: '69]', 174801764: '[90]', 52822214: '145,', 189898081: '147,'}",cites,14
49,234790338,86611921,"{165163607: '[21]', 196170479: '38]', 216868500: '66', 86611921: '69]', 174801764: '[90]', 52822214: '145,', 189898081: '147,'}",cites,14
50,234790338,174801764,"{165163607: '[21]', 196170479: '38]', 216868500: '66', 86611921: '69]', 174801764: '[90]', 52822214: '145,', 189898081: '147,'}",cites,14
51,234790338,52822214,"{165163607: '[21]', 196170479: '38]', 216868500: '66', 86611921: '69]', 174801764: '[90]', 52822214: '145,', 189898081: '147,'}",cites,14
52,234790338,189898081,"{165163607: '[21]', 196170479: '38]', 216868500: '66', 86611921: '69]', 174801764: '[90]', 52822214: '145,', 189898081: '147,'}",cites,14
53,234790338,165163607,"{165163607: '[21]', 196170479: '38]', 216868500: '66', 86611921: '69]', 174801764: '[90]', 52822214: '145,', 189898081: '147,'}",cites,15
54,234790338,196170479,"{165163607: '[21]', 196170479: '38]', 216868500: '66', 86611921: '69]', 174801764: '[90]', 52822214: '145,', 189898081: '147,'}",cites,15
55,234790338,216868500,"{165163607: '[21]', 196170479: '38]', 216868500: '66', 86611921: '69]', 174801764: '[90]', 52822214: '145,', 189898081: '147,'}",cites,15
56,234790338,86611921,"{165163607: '[21]', 196170479: '38]', 216868500: '66', 86611921: '69]', 174801764: '[90]', 52822214: '145,', 189898081: '147,'}",cites,15
57,234790338,174801764,"{165163607: '[21]', 196170479: '38]', 216868500: '66', 86611921: '69]', 174801764: '[90]', 52822214: '145,', 189898081: '147,'}",cites,15
58,234790338,52822214,"{165163607: '[21]', 196170479: '38]', 216868500: '66', 86611921: '69]', 174801764: '[90]', 52822214: '145,', 189898081: '147,'}",cites,15
59,234790338,189898081,"{165163607: '[21]', 196170479: '38]', 216868500: '66', 86611921: '69]', 174801764: '[90]', 52822214: '145,', 189898081: '147,'}",cites,15
60,234790338,165163607,"{165163607: '[21]', 196170479: '38]', 216868500: '66', 86611921: '69]', 174801764: '[90]', 52822214: '145,', 189898081: '147,'}",cites,16
61,234790338,196170479,"{165163607: '[21]', 196170479: '38]', 216868500: '66', 86611921: '69]', 174801764: '[90]', 52822214: '145,', 189898081: '147,'}",cites,16
62,234790338,216868500,"{165163607: '[21]', 196170479: '38]', 216868500: '66', 86611921: '69]', 174801764: '[90]', 52822214: '145,', 189898081: '147,'}",cites,16
63,234790338,86611921,"{165163607: '[21]', 196170479: '38]', 216868500: '66', 86611921: '69]', 174801764: '[90]', 52822214: '145,', 189898081: '147,'}",cites,16
64,234790338,174801764,"{165163607: '[21]', 196170479: '38]', 216868500: '66', 86611921: '69]', 174801764: '[90]', 52822214: '145,', 189898081: '147,'}",cites,16
65,234790338,52822214,"{165163607: '[21]', 196170479: '38]', 216868500: '66', 86611921: '69]', 174801764: '[90]', 52822214: '145,', 189898081: '147,'}",cites,16
66,234790338,189898081,"{165163607: '[21]', 196170479: '38]', 216868500: '66', 86611921: '69]', 174801764: '[90]', 52822214: '145,', 189898081: '147,'}",cites,16
67,234790338,165163607,"{165163607: '[21]', 196170479: '38]', 216868500: '66', 86611921: '69]', 174801764: '[90]', 52822214: '145,', 189898081: '147,'}",cites,17
68,234790338,196170479,"{165163607: '[21]', 196170479: '38]', 216868500: '66', 86611921: '69]', 174801764: '[90]', 52822214: '145,', 189898081: '147,'}",cites,17
69,234790338,216868500,"{165163607: '[21]', 196170479: '38]', 216868500: '66', 86611921: '69]', 174801764: '[90]', 52822214: '145,', 189898081: '147,'}",cites,17
70,234790338,86611921,"{165163607: '[21]', 196170479: '38]', 216868500: '66', 86611921: '69]', 174801764: '[90]', 52822214: '145,', 189898081: '147,'}",cites,17
71,234790338,174801764,"{165163607: '[21]', 196170479: '38]', 216868500: '66', 86611921: '69]', 174801764: '[90]', 52822214: '145,', 189898081: '147,'}",cites,17
72,234790338,52822214,"{165163607: '[21]', 196170479: '38]', 216868500: '66', 86611921: '69]', 174801764: '[90]', 52822214: '145,', 189898081: '147,'}",cites,17
73,234790338,189898081,"{165163607: '[21]', 196170479: '38]', 216868500: '66', 86611921: '69]', 174801764: '[90]', 52822214: '145,', 189898081: '147,'}",cites,17
74,234790338,165163607,"{165163607: '[21]', 196170479: '38]', 216868500: '66', 86611921: '69]', 174801764: '[90]', 52822214: '145,', 189898081: '147,'}",cites,18
75,234790338,196170479,"{165163607: '[21]', 196170479: '38]', 216868500: '66', 86611921: '69]', 174801764: '[90]', 52822214: '145,', 189898081: '147,'}",cites,18
76,234790338,216868500,"{165163607: '[21]', 196170479: '38]', 216868500: '66', 86611921: '69]', 174801764: '[90]', 52822214: '145,', 189898081: '147,'}",cites,18
77,234790338,86611921,"{165163607: '[21]', 196170479: '38]', 216868500: '66', 86611921: '69]', 174801764: '[90]', 52822214: '145,', 189898081: '147,'}",cites,18
78,234790338,174801764,"{165163607: '[21]', 196170479: '38]', 216868500: '66', 86611921: '69]', 174801764: '[90]', 52822214: '145,', 189898081: '147,'}",cites,18
79,234790338,52822214,"{165163607: '[21]', 196170479: '38]', 216868500: '66', 86611921: '69]', 174801764: '[90]', 52822214: '145,', 189898081: '147,'}",cites,18
80,234790338,189898081,"{165163607: '[21]', 196170479: '38]', 216868500: '66', 86611921: '69]', 174801764: '[90]', 52822214: '145,', 189898081: '147,'}",cites,18
81,234790338,165163607,"{165163607: '[21]', 196170479: '38]', 216868500: '66', 86611921: '69]', 174801764: '[90]', 52822214: '145,', 189898081: '147,'}",cites,19
82,234790338,196170479,"{165163607: '[21]', 196170479: '38]', 216868500: '66', 86611921: '69]', 174801764: '[90]', 52822214: '145,', 189898081: '147,'}",cites,19
83,234790338,216868500,"{165163607: '[21]', 196170479: '38]', 216868500: '66', 86611921: '69]', 174801764: '[90]', 52822214: '145,', 189898081: '147,'}",cites,19
84,234790338,86611921,"{165163607: '[21]', 196170479: '38]', 216868500: '66', 86611921: '69]', 174801764: '[90]', 52822214: '145,', 189898081: '147,'}",cites,19
85,234790338,174801764,"{165163607: '[21]', 196170479: '38]', 216868500: '66', 86611921: '69]', 174801764: '[90]', 52822214: '145,', 189898081: '147,'}",cites,19
86,234790338,52822214,"{165163607: '[21]', 196170479: '38]', 216868500: '66', 86611921: '69]', 174801764: '[90]', 52822214: '145,', 189898081: '147,'}",cites,19
87,234790338,189898081,"{165163607: '[21]', 196170479: '38]', 216868500: '66', 86611921: '69]', 174801764: '[90]', 52822214: '145,', 189898081: '147,'}",cites,19
88,252407569,207853300,"{207853300: 'Fang et al., 2020', 174801080: 'Min et al., 2019;', 52822214: 'Yang et al., 2018', 233219869: 'Yasunaga et al., 2021', 222208994: 'Zheng and Kordjamshidi, 2020'}",cites,21
89,252407569,174801080,"{207853300: 'Fang et al., 2020', 174801080: 'Min et al., 2019;', 52822214: 'Yang et al., 2018', 233219869: 'Yasunaga et al., 2021', 222208994: 'Zheng and Kordjamshidi, 2020'}",cites,21
90,252407569,52822214,"{207853300: 'Fang et al., 2020', 174801080: 'Min et al., 2019;', 52822214: 'Yang et al., 2018', 233219869: 'Yasunaga et al., 2021', 222208994: 'Zheng and Kordjamshidi, 2020'}",cites,21
91,252407569,233219869,"{207853300: 'Fang et al., 2020', 174801080: 'Min et al., 2019;', 52822214: 'Yang et al., 2018', 233219869: 'Yasunaga et al., 2021', 222208994: 'Zheng and Kordjamshidi, 2020'}",cites,21
92,252407569,222208994,"{207853300: 'Fang et al., 2020', 174801080: 'Min et al., 2019;', 52822214: 'Yang et al., 2018', 233219869: 'Yasunaga et al., 2021', 222208994: 'Zheng and Kordjamshidi, 2020'}",cites,21
93,216553833,202583433,"{202583433: 'Das et al., 2019b', 67855846: 'Dua et al., 2019', 204823992: 'Fisch et al., 2019', 198229624: 'Joshi et al., 2020', 86611921: 'Kwiatkowski et al., 2019', 173188058: 'Talmor and Berant, 2019', 52822214: 'Yang et al., 2018'}",cites,22
94,216553833,67855846,"{202583433: 'Das et al., 2019b', 67855846: 'Dua et al., 2019', 204823992: 'Fisch et al., 2019', 198229624: 'Joshi et al., 2020', 86611921: 'Kwiatkowski et al., 2019', 173188058: 'Talmor and Berant, 2019', 52822214: 'Yang et al., 2018'}",cites,22
95,216553833,204823992,"{202583433: 'Das et al., 2019b', 67855846: 'Dua et al., 2019', 204823992: 'Fisch et al., 2019', 198229624: 'Joshi et al., 2020', 86611921: 'Kwiatkowski et al., 2019', 173188058: 'Talmor and Berant, 2019', 52822214: 'Yang et al., 2018'}",cites,22
96,216553833,198229624,"{202583433: 'Das et al., 2019b', 67855846: 'Dua et al., 2019', 204823992: 'Fisch et al., 2019', 198229624: 'Joshi et al., 2020', 86611921: 'Kwiatkowski et al., 2019', 173188058: 'Talmor and Berant, 2019', 52822214: 'Yang et al., 2018'}",cites,22
97,216553833,86611921,"{202583433: 'Das et al., 2019b', 67855846: 'Dua et al., 2019', 204823992: 'Fisch et al., 2019', 198229624: 'Joshi et al., 2020', 86611921: 'Kwiatkowski et al., 2019', 173188058: 'Talmor and Berant, 2019', 52822214: 'Yang et al., 2018'}",cites,22
98,216553833,173188058,"{202583433: 'Das et al., 2019b', 67855846: 'Dua et al., 2019', 204823992: 'Fisch et al., 2019', 198229624: 'Joshi et al., 2020', 86611921: 'Kwiatkowski et al., 2019', 173188058: 'Talmor and Berant, 2019', 52822214: 'Yang et al., 2018'}",cites,22
99,216553833,52822214,"{202583433: 'Das et al., 2019b', 67855846: 'Dua et al., 2019', 204823992: 'Fisch et al., 2019', 198229624: 'Joshi et al., 2020', 86611921: 'Kwiatkowski et al., 2019', 173188058: 'Talmor and Berant, 2019', 52822214: 'Yang et al., 2018'}",cites,22
100,222272049,52822214,"{52822214: 'Yang et al., 2018'}",cites,23
101,226236844,198229624,"{198229624: 'Joshi et al. 2020', 216553210: 'Pan et al. 2020', 52822214: 'Yang et al., 2018a', 202572810: 'Zhang and Bansal, 2019'}",cites,27
102,226236844,216553210,"{198229624: 'Joshi et al. 2020', 216553210: 'Pan et al. 2020', 52822214: 'Yang et al., 2018a', 202572810: 'Zhang and Bansal, 2019'}",cites,27
103,226236844,52822214,"{198229624: 'Joshi et al. 2020', 216553210: 'Pan et al. 2020', 52822214: 'Yang et al., 2018a', 202572810: 'Zhang and Bansal, 2019'}",cites,27
104,226236844,202572810,"{198229624: 'Joshi et al. 2020', 216553210: 'Pan et al. 2020', 52822214: 'Yang et al., 2018a', 202572810: 'Zhang and Bansal, 2019'}",cites,27
105,211258645,189927896,"{189927896: 'Jiang & Bansal 2019a', 202565945: 'Jiang & Bansal, 2019b', 174801764: 'Min et al., 2019a', 174801080: 'Min et al. 2019b', 202660724: 'Nie et al., 2019', 207870753: 'Tu et al., 2020', 52822214: 'Yang et al., 2018'}",cites,28
